hip,ra,dec,Vmag,plx,period,SpType,main_id,NAME,rgb,otype_txt,oid,temp
1892,5.97158721,60.96141311,6.57,18.64,,F2,HD   1917,,"rgb(244,242,253)",PM*,129858,6988
1905,6.02193796,44.26473455,6.66,6.86,,F2,HD   1952,,"rgb(246,243,251)",*,1589151,6811
1921,6.06523854,52.01991398,5.58,2.38,1.06,B5IV,HD   1976,,"rgb(191,211,254)",SB*,44631,11743
1939,6.12353807,-2.2190645,6.08,6.03,,K1III,HD   2023,,"rgb(255,215,177)",PM*,1369420,4277
1948,6.15897939,14.31551416,6.48,6.09,,K0,*  43 Psc,,"rgb(255,217,182)",*,1451556,4386
1952,6.16532611,31.37305509,6.76,5.96,,B9,HD   2019,,"rgb(196,214,253)",SB*,1512411,10911
1955,6.18673258,-51.04386687,6.81,28.91,,G3IV,HD   2070,,"rgb(254,242,237)",SB*,3262436,5983
1960,6.19793946,61.83105752,5.38,4.27,,B9III,*  12 Cas,,"rgb(202,218,253)",*,165099,10026
1962,6.20681034,-18.47187786,6.9,2.96,,K3III,HD   2066,,"rgb(254,205,159)",PM*,1295914,3908
1982,6.27671131,53.04678574,5.72,6.17,,B9IV,HD   2054,,"rgb(196,214,253)",SB*,44608,10882
